Classified,GrndTruth,pop,w,lon,lat
21,-1,453.091118261218071,4959095.882102579809725,31.434301529388964,-14.098867849352411
12,-1,63.199496352579445,1948520.103915428509936,35.101045962008740,-14.270733266236059
22,-1,957.583850687369704,913625.964021565974690,35.214639500913790,-15.975831578774008
11,-1,1.761698693037033,1081162.441986426245421,33.268726932971418,-16.041519214693395
30,-1,2411.592728344723582,7860948.236948878504336,33.584931591786905,-16.131853221750848
12,-1,69.341891549527645,2137897.887255289591849,26.434273563477856,-16.608422230369413
13,-1,365.517317332327366,1444895.438174450071529,30.071989685016909,-16.830426524969791
12,-1,169.692636322230101,5231837.790536119602621,36.828629005256026,-15.508043196071336
11,-1,2.338614225387573,1435218.108963581267744,36.331594636845409,-16.797530766183804
11,-1,0.108477755449712,66573.288296554281260,24.703119699734469,-21.035884743710032
13,-1,355.281522502191365,1404433.187673999927938,19.094496309140549,-24.129357561664882
12,-1,80.175324209034443,2471906.266273035202175,28.982742016009869,-18.750526244913186
12,-1,137.869540594518185,4250691.652150144800544,34.026953849618820,-19.544017633746869
12,-1,184.917570013552904,5701241.679656052961946,31.383814976887905,-20.355577038755676
11,-1,0.000000000000000,0.000000000000000,32.763274326584671,-23.359744065395972
12,-1,65.746677642688155,2027052.912537905620411,35.205691680999358,-23.434956473136467
11,-1,0.000000000000000,0.000000000000000,38.296458472076353,-9.515753616570088
23,-1,2181.410452246665955,3413580.146198194939643,38.516979471559146,-13.354680892980127
12,-1,317.444464281201363,9787212.813814431428909,40.509310639046696,-14.237993152718005
13,-1,770.441676609218121,3045567.504261388443410,40.787739199610456,-14.630995513441976
12,-1,190.717046737670898,5880046.854401282966137,44.209019669916060,-18.329565824358273
23,-1,1829.589778319001198,2863033.564602488651872,47.337425352907957,-18.667953729970492
12,-1,151.592734023928642,4673794.996802589856088,47.219042919853578,-21.634203628770038
22,-1,1307.941243356093764,1247900.200579832307994,110.742827728105382,-7.485221395396062
23,-1,2360.359771084040403,3693608.987780860625207,111.456545562825085,-7.558251830835444
21,-1,1260.863251830451190,13800186.117181843146682,112.410855860104490,-7.566366614719159
21,-1,328.286921028047800,3593110.199259614106268,108.967546962084029,-7.615056547646581
23,-1,2108.306296154856682,3299183.107537927106023,110.728000064082593,-7.769255373870470
